Names,Prices,RAM|ROM,Camera,Display,Processor,Battery,Ratings
"POCO C55 (Cool Blue, 128 GB)","9,999",6 GB RAM | 128 GB ROM | Expandable Upto 1 TB,50MP Rear Camera | 5MP Front Camera,17.04 cm (6.71 inch) HD+ Display,Mediatek Helio G85 Processor,5000 mAh Battery,4.3
"POCO C55 (Power Black, 128 GB)","9,999",6 GB RAM | 128 GB ROM | Expandable Upto 1 TB,50MP Rear Camera | 5MP Front Camera,17.04 cm (6.71 inch) HD+ Display,Mediatek Helio G85 Processor,5000 mAh Battery,4.3
"REDMI 10 (Pacific Blue, 64 GB)","9,999",4 GB RAM | 64 GB ROM | Expandable Upto 1 TB,50MP + 2MP | 5MP Front Camera,17.02 cm (6.7 inch) HD+ Display,Qualcomm Snapdragon 680 Processor,6000 mAh Lithium Polymer Battery,4.3
Cellecor E7,"1,479",32 MB RAM | 32 MB ROM,0.8MP Rear Camera,6.1 cm (2.4 inch) Display,1 year warranty for device and 6months warranty for accessories,2750 mAh Battery,2.4
"MOTOROLA g31 (Meteorite Grey, 64 GB)","9,499",4 GB RAM | 64 GB ROM | Expandable Upto 1 TB,50MP + 8MP + 2MP | 13MP Front Camera,16.26 cm (6.4 inch) Full HD+ Display,Mediatek Helio G85 Processor,5000 mAh LiPo Battery,4.2
"MOTOROLA g22 (Cosmic Black, 64 GB)","9,499",4 GB RAM | 64 GB ROM | Expandable Upto 1 TB,50MP + 8MP + 2MP + 2MP | 16MP Front Camera,16.51 cm (6.5 inch) HD+ Display,Mediatek Helio G37 Processor,5000 mAh Lithium Ion Battery,3.8
"POCO C55 (Forest Green, 128 GB)","9,999",6 GB RAM | 128 GB ROM | Expandable Upto 1 TB,50MP Rear Camera | 5MP Front Camera,17.04 cm (6.71 inch) HD+ Display,Mediatek Helio G85 Processor,5000 mAh Battery,4.3
"REDMI 10 (Midnight Black, 64 GB)","9,999",4 GB RAM | 64 GB ROM | Expandable Upto 1 TB,50MP + 2MP | 5MP Front Camera,17.02 cm (6.7 inch) HD+ Display,Qualcomm Snapdragon 680 Processor,6000 mAh Lithium Polymer Battery,4.3
"REDMI 10 (Shadow Black, 64 GB)","9,999",4 GB RAM | 64 GB ROM | Expandable Upto 1 TB,50MP + 2MP | 5MP Front Camera,17.02 cm (6.7 inch) HD+ Display,Qualcomm Snapdragon 680 Processor,6000 mAh Lithium Polymer Battery,4.3
"OPPO A17k (Blue, 64 GB)","9,499",3 GB RAM | 64 GB ROM | Expandable Upto 2 TB,8MP Rear Camera | 5MP Front Camera,16.66 cm (6.56 inch) HD+ Display,Mediatek Helio P35 Processor,5000 mAh Battery,4.5
